SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
21STCENMGM,EQ,19.4,19.4,19.4,19.4,19.4,19.05,1414,27431.6,13-NOV-2023,8,INE253B01015
360ONE,EQ,532.0,545.5,530.05,541.85,543.0,531.95,168118,90961390.2,13-NOV-2023,6703,INE466L01038
3IINFOLTD,EQ,36.2,37.1,35.65,36.7,36.55,36.2,617964,22558153.65,13-NOV-2023,3001,INE748C01038
3MINDIA,EQ,31847.0,31881.45,31000.0,31256.6,31116.0,31699.55,3790,119684203.1,13-NOV-2023,1001,INE470A01017
3PLAND,EQ,28.05,29.55,28.0,28.55,28.0,28.45,18646,541774.9,13-NOV-2023,502,INE105C01023
5PAISA,EQ,449.4,449.4,438.0,439.35,440.0,444.95,41674,18338143.8,13-NOV-2023,2725,INE618L01018
63MOONS,EQ,327.7,327.7,305.15,307.8,308.5,313.65,483089,154354366.65,13-NOV-2023,8447,INE111B01023
AAATECH,EQ,66.9,66.9,64.0,64.75,64.3,65.8,21690,1424270.7,13-NOV-2023,711,INE0D0U01013
AAKASH,EQ,7.25,7.35,7.15,7.25,7.25,7.3,499515,3620041.35,13-NOV-2023,703,INE087Z01024
AARON,EQ,268.65,269.9,265.1,266.8,266.95,268.65,4744,1268069.55,13-NOV-2023,352,INE721Z01010
AARTIDRUGS,EQ,489.0,492.65,479.0,481.1,482.5,486.95,110312,53533711.55,13-NOV-2023,7342,INE767A01016
AARTIIND,EQ,519.8,520.3,514.75,517.9,517.8,518.6,974717,504623549.75,13-NOV-2023,19818,INE769A01020
AARTIPHARM,EQ,400.0,404.95,390.0,391.8,392.0,399.55,136298,53905381.5,13-NOV-2023,7442,INE0LRU01027
AARTISURF,EQ,635.0,636.35,619.0,624.1,626.8,626.1,6885,4294115.25,13-NOV-2023,1496,INE09EO01013
AARVEEDEN,EQ,24.45,24.75,24.15,24.4,24.75,24.85,11587,282200.15,13-NOV-2023,237,INE273D01019
AARVI,EQ,119.35,119.35,117.35,118.7,119.0,118.55,18703,2214582.1,13-NOV-2023,535,INE754X01016
AAVAS,EQ,1512.55,1534.65,1490.0,1520.2,1513.9,1506.65,97428,147770050.2,13-NOV-2023,11602,INE216P01012
ABB,EQ,4235.9,4307.85,4202.55,4262.75,4252.85,4235.15,157036,670070672.75,13-NOV-2023,21106,INE117A01022
ABBOTINDIA,EQ,23881.65,23946.95,23100.0,23152.65,23149.0,23815.85,18257,424825021.05,13-NOV-2023,7548,INE358A01014
ABCAPITAL,EQ,175.2,178.4,174.65,177.9,178.0,175.6,2261934,400395724.7,13-NOV-2023,20022,INE674K01013
ABFRL,EQ,214.55,220.05,212.75,215.6,215.7,218.35,3047466,660972929.6,13-NOV-2023,21420,INE647O01011
ABSLAMC,EQ,461.45,461.45,445.5,447.45,447.5,459.6,70529,31848894.6,13-NOV-2023,3215,INE404A01024
ABSLBANETF,EQ,44.86,44.86,44.01,44.28,44.3,44.46,22422,994211.71,13-NOV-2023,305,INF209KB17D5
ABSLLIQUID,EQ,1000.01,1000.01,999.99,999.99,999.99,1000.01,141,140998.86,13-NOV-2023,7,INF209KB18T9
ABSLNN50ET,EQ,47.27,47.4,47.11,47.35,47.3,47.5,1961,92648.47,13-NOV-2023,90,INF209KB16D7
ACC,EQ,1838.5,1839.15,1815.0,1834.85,1835.9,1839.15,361409,659517253.75,13-NOV-2023,16084,INE012A01025
ACCELYA,EQ,1384.1,1398.9,1368.0,1370.65,1372.0,1382.15,20434,28129612.95,13-NOV-2023,2901,INE793A01012
ACCURACY,EQ,9.85,9.85,9.4,9.8,9.8,9.75,506026,4914578.55,13-NOV-2023,1211,INE648Z01023
ACE,EQ,872.95,872.95,845.25,858.1,853.45,873.25,198808,170066031.05,13-NOV-2023,13272,INE731H01025
ACEINTEG,EQ,35.85,35.85,34.0,34.95,35.75,35.35,4681,163254.2,13-NOV-2023,99,INE543V01017
ACI,EQ,540.0,545.7,534.0,535.35,535.0,538.4,270513,145680960.75,13-NOV-2023,17293,INE128X01021
ACL,EQ,100.0,100.0,97.5,98.8,98.8,98.25,17125,1688417.6,13-NOV-2023,555,INE666E01020
ADANIENSOL,EQ,768.4,768.4,757.0,759.0,757.6,768.4,179475,136290080.5,13-NOV-2023,9910,INE931S01010
ADANIENT,EQ,2215.5,2241.9,2195.55,2213.65,2218.0,2211.35,853633,1888885758.9,13-NOV-2023,42537,INE423A01024
