SYMBOL,TIMESTAMP,CLOSE,TOTTRDQTY,moving_average
360ONE,16-NOV-2023,543.1,1136970,281.6
3MINDIA,16-NOV-2023,30706.15,2816,15371.525000000001
5PAISA,16-NOV-2023,451.95,167205,240.2
AARON,16-NOV-2023,263.5,12416,135.275
AARTIDRUGS,16-NOV-2023,473.65,164947,368.575
AARTIIND,16-NOV-2023,525.25,2153045,499.45
AARTISURF,16-NOV-2023,625.95,7322,513.6500000000001
AARVI,16-NOV-2023,122.55,16514,73.225
AAVAS,16-NOV-2023,1488.95,141708,805.75
ABB,16-NOV-2023,4232.75,130755,2860.85
ABBOTINDIA,16-NOV-2023,23293.55,23823,13763.15
ABFRL,16-NOV-2023,215.35,1440795,198.27499999999998
ABSLAMC,16-NOV-2023,454.35,80304,334.85
ABSLLIQUID,16-NOV-2023,1000.0,5273,522.3
ACC,16-NOV-2023,1844.85,215184,946.425
ACE,16-NOV-2023,872.35,247845,441.05
ACI,16-NOV-2023,530.7,205682,282.425
ADANIENSOL,16-NOV-2023,747.2,388858,422.475
ADANIENT,16-NOV-2023,2205.9,1307584,1476.5500000000002
ADORWELD,16-NOV-2023,1584.5,367911,901.6749999999997
ADVENZYMES,16-NOV-2023,322.55,124386,216.3499999999998
AETHER,16-NOV-2023,889.3,30955,524.7499999999998
AFFLE,16-NOV-2023,1025.45,127401,957.3749999999997
AGI,16-NOV-2023,978.95,114993,953.4249999999997
AGSTRA,16-NOV-2023,78.35,3882403,57.77499999999966
AHL,16-NOV-2023,334.05,98685,206.19999999999965
AHLEAST,16-NOV-2023,134.8,5878,127.6749999999997
AHLUCONT,16-NOV-2023,784.4,364766,459.5999999999997
AIAENG,16-NOV-2023,3562.35,52334,2173.3749999999995
AKASH,16-NOV-2023,29.55,45540,17.199999999999772
AKSHARCHEM,16-NOV-2023,247.05,7024,126.57499999999978
AKZOINDIA,16-NOV-2023,2468.7,15121,1357.8749999999998
ALBERTDAVD,16-NOV-2023,916.35,43673,465.07499999999976
ALICON,16-NOV-2023,841.2,7080,461.6749999999998
ALKEM,16-NOV-2023,4361.25,113150,2235.375
ALLSEC,16-NOV-2023,651.15,34835,465.475
ALPA,16-NOV-2023,97.65,828084,59.475
ALPHAGEO,16-NOV-2023,278.25,18268,148.315
AMBER,16-NOV-2023,3272.8,156570,1637.4750000000001
AMIORG,16-NOV-2023,1084.1,53795,579.8
AMNPLST,16-NOV-2023,156.1,9783,97.625
AMRUTANJAN,16-NOV-2023,599.45,61830,377.77500000000003
ANANDRATHI,16-NOV-2023,2107.6,29463,1353.525
ANDHRAPAP,16-NOV-2023,574.7,109745,413.6749999999998
ANGELONE,16-NOV-2023,2972.05,1008322,1540.1749999999997
ANMOL,16-NOV-2023,57.65,273419,53.57499999999955
ANUP,16-NOV-2023,2754.35,21710,1405.9999999999995
APARINDS,16-NOV-2023,5560.5,75382,3246.45
APCOTEXIND,16-NOV-2023,522.5,42521,369.825
APLAPOLLO,16-NOV-2023,1685.45,1116709,948.05
APOLLOHOSP,16-NOV-2023,5338.75,449045,2742.725
APOLSINHOT,16-NOV-2023,1737.3,1784,1082.575
APTUS,16-NOV-2023,301.65,512015,275.92499999999984
ARE&M,16-NOV-2023,642.4,279419,333.4499999999999
